,Made Donation in March 2007
659,0.328726236
276,0.161887583
263,0.225859844
303,0.235831509
83,0.593539291
500,0.778896593
530,0.320632656
244,0.105949124
249,0.033005603
728,0.05866066
129,0.172201374
534,0.096456961
317,0.194572394
401,0.225859844
696,0.323639571
192,0.135383923
176,0.185222164
571,0.344773289
139,0.05294906
423,0.323639571
563,0.584674487
56,0.44084539
528,0.473442299
101,0.225859844
467,0.259802733
382,0.244640702
466,0.338159684
294,0.105949124
512,0.339199521
659,0.328726236
389,0.29949206
487,0.051753254
701,0.205966311
419,0.252438375
536,0.218489881
240,0.238094618
508,0.222339271
515,0.105949124
283,0.463353081
650,0.225859844
65,0.325532017
228,0.136697829
741,0.05162188
297,0.461124543
464,0.122741548
63,0.205966311
231,0.468942353
28,0.11328654
248,0.105949124
357,0.157120739
300,0.391269907
726,0.523557267
680,0.12674912
520,0.44084539
254,0.069686242
582,0.106618572
143,0.274433159
98,0.717647742
1,0.308834466
221,0.391269907
352,0.225859844
64,0.109524099
138,0.131809115
745,0.402765012
64,0.109524099
688,0.088156442
623,0.083029734
289,0.095706659
174,0.262250557
690,0.225859844
105,0.167477939
427,0.115711539
48,0.065670707
14,0.225859844
657,0.044757164
301,0.096456961
455,0.122741548
579,0.241791266
722,0.10673218
98,0.717647742
491,0.065670707
303,0.235831509
466,0.338159684
65,0.325532017
300,0.391269907
9,0.079937853
622,0.135383923
323,0.088156442
289,0.095706659
568,0.328562657
290,0.225859844
156,0.113824578
464,0.122741548
426,0.094484267
306,0.190552783
4,0.192049628
12,0.455562849
187,0.104552115
406,0.059490008
96,0.320632656
509,0.205966311
733,0.076382635
548,0.092731121
478,0.24920179
501,0.120328855
127,0.570782626
199,0.085998332
299,0.468195881
162,0.225859844
235,0.129422788
23,0.138677399
473,0.225859844
487,0.051753254
683,0.562107228
303,0.235831509
309,0.079252348
569,0.067536089
34,0.542734049
686,0.690519081
84,0.227570922
733,0.076382635
537,0.562107228
181,0.135425933
453,0.592063982
67,0.309268741
161,0.3986252
307,0.369535618
703,0.180194301
181,0.135425933
246,0.112131964
316,0.455562849
278,0.135383923
346,0.193091682
545,0.225859844
419,0.252438375
694,0.320632656
622,0.135383923
663,0.062832217
262,0.740053055
461,0.256827279
373,0.632422252
233,0.225859844
466,0.338159684
207,0.274433159
263,0.225859844
16,0.067536089
513,0.084213562
449,0.433128154
429,0.041444685
701,0.205966311
632,0.076857787
529,0.667277477
245,0.235831509
344,0.136697829
353,0.129422788
241,0.161524944
633,0.089176767
624,0.205966311
726,0.523557267
189,0.135383923
138,0.131809115
402,0.105949124
511,0.463353081
590,0.449529212
334,0.125546849
447,0.072844895
119,0.338159684
389,0.29949206
644,0.225859844
423,0.323639571
131,0.067536089
405,0.065670707
82,0.225859844
643,0.589707118
156,0.113824578
617,0.092731121
574,0.492968521
272,0.256827279
613,0.06353934
545,0.225859844
685,0.105949124
570,0.167477939
537,0.562107228
691,0.089176767
85,0.469404355
483,0.112131964
455,0.122741548
93,0.135383923
744,0.205966311
33,0.112131964
321,0.605686996
523,0.213578103
426,0.094484267
196,0.096853462
301,0.096456961
103,0.089176767
224,0.079014066
454,0.113203837
585,0.071656937
154,0.252438375
